"Output","Treatment"
0.0644536525616556,"A"
-0.119518270839221,"A"
-0.0345990482141646,"A"
0.00613291230813302,"A"
-0.163218856045088,"A"
0.262273235621835,"A"
0.0774072931299853,"A"
-0.247720708275189,"A"
-0.108119556316617,"A"
0.101616983994193,"A"
0.428454124694812,"A"
-0.100909850959548,"A"
-0.0606508924616178,"A"
-0.00056216411199661,"A"
-0.190538108523639,"A"
0.102120828260895,"A"
-0.190211912674341,"A"
-0.275998000530332,"A"
-0.210812841886716,"A"
0.188327738233166,"A"
0.0311426960159155,"A"
0.209415684696226,"A"
-0.00270558933049617,"A"
-0.369944045587568,"A"
-0.070946500113154,"A"
-0.0635178049723286,"A"
-0.229305160882458,"A"
-0.0526956752359004,"A"
0.0295535197691729,"A"
0.035798871216934,"A"
-0.217365176615941,"A"
0.162021500894459,"A"
-0.27526425660635,"A"
0.122946002490111,"A"
-0.0986175111976215,"A"
0.127041872091974,"A"
-0.223141948902194,"A"
-0.100726404379077,"A"
-0.309034725470021,"A"
-0.115229919563915,"A"
0.108503412118825,"A"
-0.123175482691596,"A"
-0.0533277695977104,"A"
0.0208358054981216,"A"
-0.114189165150284,"A"
-0.123251312266933,"A"
0.0248739887842861,"A"
-0.14789703924901,"A"
-0.211900249704844,"A"
0.248842320416647,"A"
-0.188381091924332,"B"
-0.224929544261974,"B"
-0.121591349101721,"B"
-0.157695803533363,"B"
0.0829595654318009,"B"
0.35079586014994,"B"
-0.0984438551184783,"B"
-0.266726910460557,"B"
-0.225574855579798,"B"
-0.303082419864296,"B"
-0.122839418747738,"B"
-0.183287745360486,"B"
-0.208797676327326,"B"
-0.308521755723627,"B"
-0.365315104330555,"B"
0.023724518517129,"B"
-0.115092206235808,"B"
-0.111455519736917,"B"
-0.218934605176803,"B"
-0.0203874520409084,"B"
-0.104768633445713,"B"
-0.149371071234225,"B"
-0.202268947729398,"B"
-0.0529681727773629,"B"
-0.0626785934559954,"B"
-0.143045096504179,"B"
-0.267699098880768,"B"
-0.291352608732536,"B"
-0.00264179126502902,"B"
-0.0279694349600199,"B"
-0.165467368439719,"B"
-0.223222168198705,"B"
-0.279908955943866,"B"
0.000211071922771311,"B"
-0.0469119794311283,"B"
0.0211701193811748,"B"
-0.0693151558673334,"B"
-0.273813640511078,"B"
-0.219234719242601,"B"
-0.251128672769595,"B"
-0.0959619078113031,"B"
-0.25795679642436,"B"
-0.254185404224278,"B"
-0.537336225420933,"B"
0.263895232364134,"B"
-0.104414088034243,"B"
-0.153786226160985,"B"
-0.0889190592130704,"B"
-0.0882475395471389,"B"
0.0106309342769341,"B"
0.0897921527169711,"C"
0.292130759155826,"C"
0.20446526077329,"C"
0.454034371474256,"C"
0.450521706407655,"C"
0.115009967592003,"C"
0.514830801342698,"C"
0.249435401476473,"C"
0.146855024768163,"C"
0.299428152007852,"C"
0.122851578647744,"C"
0.475668403152722,"C"
0.322220425580037,"C"
0.261692793635651,"C"
0.101715643108522,"C"
0.0459352891752744,"C"
0.476604318157306,"C"
0.155419878134364,"C"
0.112801511063056,"C"
0.214731660888618,"C"
0.318115161295402,"C"
0.456556320664666,"C"
0.041877278770506,"C"
-0.136722224969136,"C"
0.17460791967656,"C"
0.000633466454398629,"C"
-0.112949455921995,"C"
0.165952641054386,"C"
0.596618984752815,"C"
0.145537678552942,"C"
0.274319979783526,"C"
-0.195517723157427,"C"
0.199827089470095,"C"
0.286772726265337,"C"
0.178922689817906,"C"
0.469642398797573,"C"
0.329405412000501,"C"
0.20680064016639,"C"
0.43997433270578,"C"
0.0718719557659848,"C"
-0.0976453149836263,"C"
0.234481986329421,"C"
0.102538674136028,"C"
0.452656957771922,"C"
0.215430163120971,"C"
0.101683462746327,"C"
0.0584348165269017,"C"
0.474713191129731,"C"
0.0599252383597421,"C"
0.209334679625874,"C"
