Date,BXP,C,CAG,CAH,CARR,CAT,CB,CBOE,CBRE,CCI
2022-01-03 00:00:00-05:00,105.45458221435547,56.940452575683594,30.79319190979004,49.040279388427734,50.69812774658203,196.55813598632812,184.607421875,124.53874969482422,108.66999816894531,186.72132873535156
2022-01-04 00:00:00-05:00,108.96269226074219,57.38262176513672,30.919767379760742,49.596595764160156,51.953025817871094,207.07925415039062,188.62857055664062,121.89208221435547,110.30000305175781,181.69691467285156
2022-01-05 00:00:00-05:00,107.49437713623047,56.7148551940918,30.87455940246582,50.275482177734375,50.553321838378906,208.6649932861328,187.0953369140625,120.68993377685547,106.72000122070312,169.39202880859375
2022-01-06 00:00:00-05:00,109.72762298583984,58.57377243041992,30.314016342163086,49.5117301940918,51.64412307739258,210.79202270507812,190.9236297607422,121.64972686767578,105.70999908447266,173.02325439453125
2022-01-07 00:00:00-05:00,110.45738220214844,59.35883712768555,31.417007446289062,51.14295196533203,50.041709899902344,212.8810272216797,194.00942993164062,120.37969207763672,104.77999877929688,175.02764892578125
2022-01-10 00:00:00-05:00,110.00018310546875,59.58443832397461,30.892635345458984,48.11623764038086,50.50505828857422,210.45968627929688,191.72402954101562,118.92547607421875,103.4000015258789,171.37843322753906
2022-01-11 00:00:00-05:00,108.55825805664062,60.55902099609375,30.72086524963379,49.7003173828125,50.71742630004883,208.8549041748047,192.36045837402344,122.09565734863281,105.27999877929688,168.61004638671875
2022-01-12 00:00:00-05:00,108.6021957397461,60.71242141723633,30.323060989379883,48.729122161865234,51.161468505859375,211.18133544921875,190.75970458984375,120.77718353271484,106.4800033569336,170.25491333007812
2022-01-13 00:00:00-05:00,110.52772521972656,61.163604736328125,31.073453903198242,49.25715255737305,50.38922119140625,215.54930114746094,190.48004150390625,116.68599700927734,105.68000030517578,168.4213409423828
2022-01-14 00:00:00-05:00,109.97380065917969,60.39658737182617,31.74247932434082,50.058616638183594,49.3273811340332,217.3914337158203,189.25537109375,114.55316925048828,103.83000183105469,165.51809692382812
2022-01-18 00:00:00-05:00,108.5230712890625,58.925697326660156,31.91425323486328,49.587158203125,47.927677154541016,218.27452087402344,188.0210418701172,115.65836334228516,101.41000366210938,165.38327026367188
2022-01-19 00:00:00-05:00,105.54249572753906,57.969173431396484,32.14931869506836,49.09685134887695,47.097511291503906,211.4999542236328,185.0316925048828,116.61813354492188,98.88999938964844,164.65525817871094
2022-01-20 00:00:00-05:00,102.54432678222656,58.16769790649414,32.04987335205078,48.66312026977539,46.36387252807617,206.70053100585938,186.21783447265625,116.67630004882812,99.70999908447266,163.2710418701172
2022-01-21 00:00:00-05:00,100.61882781982422,57.0938606262207,31.869056701660156,47.673072814941406,46.1418571472168,204.27694702148438,185.1570587158203,114.48528289794922,101.51000213623047,163.8103485107422
2022-01-24 00:00:00-05:00,101.13756561279297,56.57950210571289,31.923295974731445,47.90880584716797,46.006710052490234,204.50596618652344,188.90821838378906,114.49497985839844,100.75,165.03274536132812
2022-01-25 00:00:00-05:00,100.45176696777344,57.85186767578125,31.679197311401367,47.85222625732422,45.57231521606445,204.4868621826172,186.74819946289062,112.08098602294922,95.86000061035156,163.7474365234375
2022-01-26 00:00:00-05:00,100.79467010498047,58.42938995361328,31.498376846313477,47.89937210083008,45.051048278808594,204.4677734375,187.17245483398438,111.34420013427734,96.72000122070312,159.0016326904297
